category,headline,links,short_description,keywords,category_encoded,input_text
FOOD & DRINK,"['oversized', 'mcdonald', 'peru', 'let', 'relive', 'fond', 'childhood', 'memory']",https://www.huffingtonpost.com/entry/oversized-mcdonalds-in-pe_us_5b9dddace4b03a1dcc8decda,"['could', 'make', 'adult', 'sized', 'play', 'place']","['oversized', 'mcdonalds', 'in', 'pe']",2,"['oversized', 'mcdonald', 'peru', 'let', 'relive', 'fond', 'childhood', 'memory', 'could', 'make', 'adult', 'sized', 'play', 'place', 'oversized', 'mcdonalds', 'in', 'pe']"
WORLD NEWS,"['military', 'plane', 'crash', 'cuba', 'kill', 'eight', 'board']",https://www.huffingtonpost.com/entry/cuba-military-plane-crash_us_59052532e4b05c397680072d,"['plane', 'crash', 'mountain', 'cubans', 'north', 'western', 'region', 'artemis']","['cuba', 'military', 'plane', 'crash']",9,"['military', 'plane', 'crash', 'cuba', 'kill', 'eight', 'board', 'plane', 'crash', 'mountain', 'cubans', 'north', 'western', 'region', 'artemis', 'cuba', 'military', 'plane', 'crash']"
WORLD NEWS,"['pakistanis', 'hunt', 'militant', 'behind', 'lahore', 'easter', 'bombing']",https://www.huffingtonpost.com/entry/lahore-bombing-taliban_us_56f89595e4b0143a9b4889b7,"['faction', 'pakistani', 'taliban', 'call', 'jamaal', 'we', 'harar', 'claim', 'responsibility', 'attack', 'kill', 'least', 'people']","['lahore', 'bombing', 'taliban']",9,"['pakistanis', 'hunt', 'militant', 'behind', 'lahore', 'easter', 'bombing', 'faction', 'pakistani', 'taliban', 'call', 'jamaal', 'we', 'harar', 'claim', 'responsibility', 'attack', 'kill', 'least', 'people', 'lahore', 'bombing', 'taliban']"
SPORTS,"['mac', 'defeat', 'virginia', 'big', 'upset', 'man', 'tournament', 'history']",https://www.huffingtonpost.com/entry/umbc-defeats-virginia-ncaa_us_5aac8a90e4b05b2217fee4e1,"['first', 'time', 'man', 'tournament', 'seed', 'defeat', 'seed']","['umbc', 'defeats', 'virginia', 'ncaa']",5,"['mac', 'defeat', 'virginia', 'big', 'upset', 'man', 'tournament', 'history', 'first', 'time', 'man', 'tournament', 'seed', 'defeat', 'seed', 'umbc', 'defeats', 'virginia', 'ncaa']"
SPORTS,"['hebron', 'james', 'long', 'first', 'choice', 'start', 'new', 'franchise', 'say', 'pm', 'survey']",https://www.huffingtonpost.com/entry/nba-gm-survey-lebron-james_us_5626885ee4b02f6a900e220b,"['hebron', 'wrong', 'side']","['nba', 'gm', 'survey', 'lebron', 'james']",5,"['hebron', 'james', 'long', 'first', 'choice', 'start', 'new', 'franchise', 'say', 'pm', 'survey', 'hebron', 'wrong', 'side', 'nba', 'gm', 'survey', 'lebron', 'james']"
POLITICS,"['beautiful', 'way', 'people', 'remember', 'chapel', 'hill', 'shooting', 'victim', 'year']",https://www.huffingtonpost.com/entry/chapel-hill-shooting-lovetheyneighbor_us_589e2a53e4b0ab2d2b152adc,"['two', 'year', 'shoot', 'death', 'user', 'kazan', 'still', 'inspire', 'act', 'love']","['chapel', 'hill', 'shooting', 'lovetheyneighbor']",4,"['beautiful', 'way', 'people', 'remember', 'chapel', 'hill', 'shooting', 'victim', 'year', 'two', 'year', 'shoot', 'death', 'user', 'kazan', 'still', 'inspire', 'act', 'love', 'chapel', 'hill', 'shooting', 'lovetheyneighbor']"
WORLD NEWS,"['lebanon', 'new', 'presidency', 'may', 'enact', 'anti', 'refugee', 'agenda']",https://www.huffingtonpost.com/entry/lebanon-politics-refugees_us_582798d7e4b02d21bbc91ae2,"['lebanese', 'analyst', 'kareem', 'che', 'hayes', 'examine', 'election', 'new', 'president', 'two', 'half', 'year', 'political', 'stalemate']","['lebanon', 'politics', 'refugees']",9,"['lebanon', 'new', 'presidency', 'may', 'enact', 'anti', 'refugee', 'agenda', 'lebanese', 'analyst', 'kareem', 'che', 'hayes', 'examine', 'election', 'new', 'president', 'two', 'half', 'year', 'political', 'stalemate', 'lebanon', 'politics', 'refugees']"
STYLE & BEAUTY,"['valentino', 'valentine', 'perfume', 'fall', 'love', 'designer', 'fragrance']",https://www.huffingtonpost.com/entry/valentino-valentina-perfume_us_5b9b63efe4b03a1dcc772ab0,"['next', 'usher', 'hallway', 'catch', 'first', 'glimpse', 'valentine', 'pink', 'hue', 'fragrance', 'pour']","['valentino', 'valentina', 'perfume']",6,"['valentino', 'valentine', 'perfume', 'fall', 'love', 'designer', 'fragrance', 'next', 'usher', 'hallway', 'catch', 'first', 'glimpse', 'valentine', 'pink', 'hue', 'fragrance', 'pour', 'valentino', 'valentina', 'perfume']"
BUSINESS,"['soon', 'able', 'drink', 'wine', 'beer', 'barne', 'noble', 'store']",https://www.huffingtonpost.com/entry/barnes-noble-to-serve-alcohol_us_576ff524e4b0f1683239d9d6,"['retailer', 'hope', 'store', 'restaurant', 'create', 'well', 'bookstore', 'keep', 'customer', 'long']","['barnes', 'noble', 'to', 'serve', 'alcohol']",0,"['soon', 'able', 'drink', 'wine', 'beer', 'barne', 'noble', 'store', 'retailer', 'hope', 'store', 'restaurant', 'create', 'well', 'bookstore', 'keep', 'customer', 'long', 'barnes', 'noble', 'to', 'serve', 'alcohol']"
FOOD & DRINK,"['make', 'applesauce', 'without', 'recipe']",https://www.huffingtonpost.com/entry/how-to-make-applesauce-wi_us_5b9da80ae4b03a1dcc8aecbb,"['maybe', 'color', 'rosy', 'mauve', 'maybe', 'naturally', 'sweet', 'flavor']","['how', 'to', 'make', 'applesauce', 'wi']",2,"['make', 'applesauce', 'without', 'recipe', 'maybe', 'color', 'rosy', 'mauve', 'maybe', 'naturally', 'sweet', 'flavor', 'how', 'to', 'make', 'applesauce', 'wi']"
POLITICS,"['elizabeth', 'warren', 'keynote', 'democratic', 'convention']",https://www.huffingtonpost.com/entry/elizabeth-warren-dnc-keynote_us_5795f460e4b0d3568f83b481,"['speaker', 'monday', 'night', 'include', 'sen', 'cory', 'booker', 'first', 'lady', 'michelle', 'obama', 'sen', 'bernie', 'sanders']","['elizabeth', 'warren', 'dnc', 'keynote']",4,"['elizabeth', 'warren', 'keynote', 'democratic', 'convention', 'speaker', 'monday', 'night', 'include', 'sen', 'cory', 'booker', 'first', 'lady', 'michelle', 'obama', 'sen', 'bernie', 'sanders', 'elizabeth', 'warren', 'dnc', 'keynote']"
FOOD & DRINK,"['what', 's', 'next', 'argentine', 'wine', 'chat', 'christ', 'canterbury']",https://www.huffingtonpost.com/entry/whats-next-for-argentine_us_5b9d6260e4b03a1dcc8757f0,"['future', 'argentine', 'wine', 'american', 'market']","['what', 's', 'next', 'for', 'argentine']",2,"['what', 's', 'next', 'argentine', 'wine', 'chat', 'christ', 'canterbury', 'future', 'argentine', 'wine', 'american', 'market', 'what', 's', 'next', 'for', 'argentine']"
PARENTING,"['raise', 'prodigy']",https://www.huffingtonpost.comhttp://www.nytimes.com/2012/11/04/magazine/how-do-you-raise-a-prodigy.html?ref=magazine&_r=0,"['drew', 'petersen', 'speak', 'mother', 'sue', 'never', 'believe', 'slow', 'month', 'old']","['lahore', 'bombing', 'taliban', 'umbc', 'defeats', 'virginia', 'ncaa', 'nba', 'gm', 'survey', 'lebron', 'james', 'chapel', 'hill', 'shooting', 'lovetheyneighbor', 'lebanon', 'politics', 'refugees', 'valentino', 'valentina', 'perfume', 'barnes', 'noble', 'to', 'serve', 'alcohol', 'how', 'to', 'make', 'applesauce', 'wi', 'elizabeth', 'warren', 'dnc', 'keynote', 'what', 's', 'next', 'for', 'argentine', 'underwater', 'planes', 'whale', 'watch', 'rachel', 'zoe', 'la', 'confidential', 'meghan', 'trainor', 'no', 'plans', 'voting', '2012', 'predictions', 'uae', 'warns', 'citizens', 'chesapeake', 'ceo', 'indicted', 'patti', 'lupone', 'says', 'madonna', 'could', 'nt', 'act', 'her', 'way', 'out', 'of', 'a', 'paper', 'bag', 'in', 'divisive', 'times', 'students', 'must', 'learn', 'value', 'of', 'unity', 'taking', 'pictures', 'increases', 'enjoyment', '5', 'ways', 'resilient', 'people', 'u']",3,"['raise', 'prodigy', 'drew', 'petersen', 'speak', 'mother', 'sue', 'never', 'believe', 'slow', 'month', 'old', 'lahore', 'bombing', 'taliban', 'umbc', 'defeats', 'virginia', 'ncaa', 'nba', 'gm', 'survey', 'lebron', 'james', 'chapel', 'hill', 'shooting', 'lovetheyneighbor', 'lebanon', 'politics', 'refugees', 'valentino', 'valentina', 'perfume', 'barnes', 'noble', 'to', 'serve', 'alcohol', 'how', 'to', 'make', 'applesauce', 'wi', 'elizabeth', 'warren', 'dnc', 'keynote', 'what', 's', 'next', 'for', 'argentine', 'underwater', 'planes', 'whale', 'watch', 'rachel', 'zoe', 'la', 'confidential', 'meghan', 'trainor', 'no', 'plans', 'voting', '2012', 'predictions', 'uae', 'warns', 'citizens', 'chesapeake', 'ceo', 'indicted', 'patti', 'lupone', 'says', 'madonna', 'could', 'nt', 'act', 'her', 'way', 'out', 'of', 'a', 'paper', 'bag', 'in', 'divisive', 'times', 'students', 'must', 'learn', 'value', 'of', 'unity', 'taking', 'pictures', 'increases', 'enjoyment', '5', 'ways', 'resilient', 'people', 'u']"
TRAVEL,"['underwater', 'plane', 'graham', 'hawks', 'vision', 'oceanic', 'tourism', 'photo']",https://www.huffingtonpost.com/entry/underwater-planes-whale-watch_us_5b9cd253e4b03a1dcc8221d5,"['upcoming', 'trip', 'hawaii', 'hawk', 'plan', 'join', 'group', 'new', 'pilot', 'watch', 'humpback', 'whale', 'perfectly']","['underwater', 'planes', 'whale', 'watch']",7,"['underwater', 'plane', 'graham', 'hawks', 'vision', 'oceanic', 'tourism', 'photo', 'upcoming', 'trip', 'hawaii', 'hawk', 'plan', 'join', 'group', 'new', 'pilot', 'watch', 'humpback', 'whale', 'perfectly', 'underwater', 'planes', 'whale', 'watch']"
STYLE & BEAUTY,"['rachel', 'zoe', 'talk', 'trouble', 'teen', 'year', 'dish', 'brad', 'la', 'confidential', 'photo']",https://www.huffingtonpost.com/entry/rachel-zoe-la-confidential_us_5b9b9619e4b03a1dcc78d7fc,"['zoe', 'bounce', 'back', 'naysayer', 'youth', 'amass', 'flourish', 'styling', 'business', 'nurturing', 'lifestyle']","['rachel', 'zoe', 'la', 'confidential']",6,"['rachel', 'zoe', 'talk', 'trouble', 'teen', 'year', 'dish', 'brad', 'la', 'confidential', 'photo', 'zoe', 'bounce', 'back', 'naysayer', 'youth', 'amass', 'flourish', 'styling', 'business', 'nurturing', 'lifestyle', 'rachel', 'zoe', 'la', 'confidential']"
ENTERTAINMENT,"['americas', 'sweetheart', 'meghan', 'train', 'plan', 'vote', 'anytime', 'soon']",https://www.huffingtonpost.com/entry/meghan-trainor-no-plans-voting_us_5787e5a8e4b03fc3ee4ff3da,"['dear', 'future', 'pop', 'star', 'well']","['meghan', 'trainor', 'no', 'plans', 'voting']",1,"['americas', 'sweetheart', 'meghan', 'train', 'plan', 'vote', 'anytime', 'soon', 'dear', 'future', 'pop', 'star', 'well', 'meghan', 'trainor', 'no', 'plans', 'voting']"
BUSINESS,"['prediction', 'never', 'come', 'true', 'inc']",https://www.huffingtonpost.com/entry/2012-predictions_us_5bb2e1e0e4b0480ca65def9f,"['check', 'prediction', 'never', 'come', 'true', 'click', 'inc', 'bull', 'make', 'hugely']","['2012', 'predictions']",0,"['prediction', 'never', 'come', 'true', 'inc', 'check', 'prediction', 'never', 'come', 'true', 'click', 'inc', 'bull', 'make', 'hugely', '2012', 'predictions']"
WORLD NEWS,"['use', 'warn', 'citizen', 'avoid', 'wear', 'traditional', 'clothing', 'abroad']",https://www.huffingtonpost.com/entry/uae-warns-citizens_us_577a117de4b0416464106159,"['advisory', 'come', 'man', 'mistakenly', 'arrest', 'ohio', 'wear', 'robe', 'head', 'scarf']","['uae', 'warns', 'citizens']",9,"['use', 'warn', 'citizen', 'avoid', 'wear', 'traditional', 'clothing', 'abroad', 'advisory', 'come', 'man', 'mistakenly', 'arrest', 'ohio', 'wear', 'robe', 'head', 'scarf', 'uae', 'warns', 'citizens']"
POLITICS,"['former', 'chesapeake', 'co', 'london', 'indict', 'conspiracy', 'charge']",https://www.huffingtonpost.com/entry/chesapeake-ceo-indicted_us_56d63e20e4b0bf0dab33d884,"['could', 'one', 'high', 'profile', 'criminal', 'antitrust', 'case', 'decade']","['chesapeake', 'ceo', 'indicted']",4,"['former', 'chesapeake', 'co', 'london', 'indict', 'conspiracy', 'charge', 'could', 'one', 'high', 'profile', 'criminal', 'antitrust', 'case', 'decade', 'chesapeake', 'ceo', 'indicted']"
ENTERTAINMENT,"['patti', 'lupine', 'say', 'madonna', 'act', 'way', 'paper', 'bag']",https://www.huffingtonpost.com/entry/patti-lupone-says-madonna-couldnt-act-her-way-out-of-a-paper-bag_us_5912dc09e4b05e1ca20339bd,"['broadway', 'actress', 'rip', 'badge', 'drama', 'skill', 'without', 'filter']","['patti', 'lupone', 'says', 'madonna', 'could', 'nt', 'act', 'her', 'way', 'out', 'of', 'a', 'paper', 'bag']",1,"['patti', 'lupine', 'say', 'madonna', 'act', 'way', 'paper', 'bag', 'broadway', 'actress', 'rip', 'badge', 'drama', 'skill', 'without', 'filter', 'patti', 'lupone', 'says', 'madonna', 'could', 'nt', 'act', 'her', 'way', 'out', 'of', 'a', 'paper', 'bag']"
POLITICS,"['divisive', 'time', 'student', 'must', 'learn', 'value', 'unity']",https://www.huffingtonpost.com/entry/in-divisive-times-students-must-learn-value-of-unity_us_59d11c05e4b0f3c468060f93,"['california', 'unity', 'center', 'regional', 'response', 'national', 'concern', 'freedom', 'equality']","['in', 'divisive', 'times', 'students', 'must', 'learn', 'value', 'of', 'unity']",4,"['divisive', 'time', 'student', 'must', 'learn', 'value', 'unity', 'california', 'unity', 'center', 'regional', 'response', 'national', 'concern', 'freedom', 'equality', 'in', 'divisive', 'times', 'students', 'must', 'learn', 'value', 'of', 'unity']"
TRAVEL,"['scientist', 'validate', 'inst', 'gram', 'obsession']",https://www.huffingtonpost.com/entry/taking-pictures-increases-enjoyment_us_577c24afe4b0a629c1ab1b7b,"['even', 'reason', 'stop', 'smell', 'rose', 'take', 'photo']","['taking', 'pictures', 'increases', 'enjoyment']",7,"['scientist', 'validate', 'inst', 'gram', 'obsession', 'even', 'reason', 'stop', 'smell', 'rose', 'take', 'photo', 'taking', 'pictures', 'increases', 'enjoyment']"
BUSINESS,"['way', 'resilient', 'people', 'use', 'failure', 'advantage']",https://www.huffingtonpost.com/entry/5-ways-resilient-people-u_b_6879788.html,"['everyone', 'ability', 'build', 'mental', 'strength', 'develop', 'increase', 'resilience', 'choice', 'make', 'desire', 'become', 'well', 'hard', 'work', 'learn', 'use', 'setback', 'opportunity', 'grow', 'strong']","['5', 'ways', 'resilient', 'people', 'u']",0,"['way', 'resilient', 'people', 'use', 'failure', 'advantage', 'everyone', 'ability', 'build', 'mental', 'strength', 'develop', 'increase', 'resilience', 'choice', 'make', 'desire', 'become', 'well', 'hard', 'work', 'learn', 'use', 'setback', 'opportunity', 'grow', 'strong', '5', 'ways', 'resilient', 'people', 'u']"
FOOD & DRINK,"['make', 'ahead', 'thanksgive', 'recipe']",https://www.huffingtonpost.com/entry/10-make-ahead-thanksgivin_us_5b9da781e4b03a1dcc8ae453,"['thanksgive', 'reputation', 'delicious', 'holiday', 'around', 'also', 'stressful', 'charge', 'meal', 'round', 'recipe', 'earthy', 'stuff', 'creamy', 'mash', 'make', 'ahead', 'time', 'simply', 'reheat', 'big', 'day']","['10', 'make', 'ahead', 'thanksgivin']",2,"['make', 'ahead', 'thanksgive', 'recipe', 'thanksgive', 'reputation', 'delicious', 'holiday', 'around', 'also', 'stressful', 'charge', 'meal', 'round', 'recipe', 'earthy', 'stuff', 'creamy', 'mash', 'make', 'ahead', 'time', 'simply', 'reheat', 'big', 'day', '10', 'make', 'ahead', 'thanksgivin']"
WELLNESS,"['process', 'food', 'ingredient']",https://www.huffingtonpost.com/entry/processed-food-ingredients_us_5b9b9a28e4b03a1dcc78f493,"['also', 'good', 'idea', 'avoid', 'food', 'five', 'ingredient', 'additional', 'pick', 'often']","['processed', 'food', 'ingredients']",8,"['process', 'food', 'ingredient', 'also', 'good', 'idea', 'avoid', 'food', 'five', 'ingredient', 'additional', 'pick', 'often', 'processed', 'food', 'ingredients']"
WORLD NEWS,"['face', 'famine', 'girl', 'woman', 'bear', 'heavy', 'burden']",https://www.huffingtonpost.com/entry/facing-famine-girls-and-women-bear-the-heaviest-burden_us_59838dc1e4b00833d1de26af,"['girl', 'boy', 'woman', 'man', 'experience', 'disaster', 'differently']","['facing', 'famine', 'girls', 'and', 'women', 'bear', 'the', 'heaviest', 'burden']",9,"['face', 'famine', 'girl', 'woman', 'bear', 'heavy', 'burden', 'girl', 'boy', 'woman', 'man', 'experience', 'disaster', 'differently', 'facing', 'famine', 'girls', 'and', 'women', 'bear', 'the', 'heaviest', 'burden']"
PARENTING,"['opt', 'opt', 'next', 'generation', 'woman']",https://www.huffingtonpost.com/entry/optin-or-optout-what-will-the-next-generation-of-women-do_us_5b9d6af2e4b03a1dcc87c3d2,"['woman', 'generation', 'fight', 'future', 'would', 'brighter', 'woman', 'ultimately', 'world']","['optin', 'or', 'optout', 'what', 'will', 'the', 'next', 'generation', 'of', 'women', 'do']",3,"['opt', 'opt', 'next', 'generation', 'woman', 'woman', 'generation', 'fight', 'future', 'would', 'brighter', 'woman', 'ultimately', 'world', 'optin', 'or', 'optout', 'what', 'will', 'the', 'next', 'generation', 'of', 'women', 'do']"
SPORTS,"['craig', 'sager', 'really', 'live', 'embodiment', 'perseverance']",https://www.huffingtonpost.com/entry/craig-sager-espys-jimmy-v-perseverance-award-espys_us_5745b531e4b03ede4413612b,"['one', 'deserve', 'jimmy', 'perseverance', 'award', 'year']","['craig', 'sager', 'espys', 'jimmy', 'v', 'perseverance', 'award', 'espys']",5,"['craig', 'sager', 'really', 'live', 'embodiment', 'perseverance', 'one', 'deserve', 'jimmy', 'perseverance', 'award', 'year', 'craig', 'sager', 'espys', 'jimmy', 'v', 'perseverance', 'award', 'espys']"
BUSINESS,"['wall', 'street', 'bonus', 'top', 'employee', 'drop', 'percent', 'last', 'year', 'survey']",https://www.huffingtonpost.com/entry/wall-street-bonuses_us_5bb2e9ade4b0480ca65e9749,"['bonus', 'front', 'office', 'financial', 'professional', 'banker', 'trader', 'decline', 'percent', 'accord']","['wall', 'street', 'bonuses']",0,"['wall', 'street', 'bonus', 'top', 'employee', 'drop', 'percent', 'last', 'year', 'survey', 'bonus', 'front', 'office', 'financial', 'professional', 'banker', 'trader', 'decline', 'percent', 'accord', 'wall', 'street', 'bonuses']"
WORLD NEWS,"['resource', 'efficiency', 'underestimate', 'topic', 'go', 'summit']",https://www.huffingtonpost.com/entry/resource-efficiency-the-u_b_7520984.html,"['old', 'disparity', 'old', 'economy', 'green', 'economy', 'must', 'address', 'future', 'look', 'like', 'face', 'challenge', 'dwindle', 'resource']","['resource', 'efficiency', 'the', 'u']",9,"['resource', 'efficiency', 'underestimate', 'topic', 'go', 'summit', 'old', 'disparity', 'old', 'economy', 'green', 'economy', 'must', 'address', 'future', 'look', 'like', 'face', 'challenge', 'dwindle', 'resource', 'resource', 'efficiency', 'the', 'u']"
POLITICS,"['trickle', 'birth', 'risk', 'crowd', 'want', 'birth', 'answer', 'iranian', 'american', 'candidate']",https://www.huffingtonpost.com/entry/marty-mcclendon-birther_us_57eed23ee4b082aad9bb5b26,"['birth', 'risk', 'int', 'barack', 'obama']","['marty', 'mcclendon', 'birther']",4,"['trickle', 'birth', 'risk', 'crowd', 'want', 'birth', 'answer', 'iranian', 'american', 'candidate', 'birth', 'risk', 'int', 'barack', 'obama', 'marty', 'mcclendon', 'birther']"
POLITICS,"['dear', 'governor', 'penny', 'please', 'do', 'leave', 'indiana', 'toxic', 'crisis', 'resume']",https://www.huffingtonpost.com/entry/dear-governor-pence-before-you-leave-indiana-please_us_58596a92e4b06ae7ec2a41cd,"['home', 'state', 'still', 'need', 'attention', 'help']","['dear', 'governor', 'pence', 'before', 'you', 'leave', 'indiana', 'please']",4,"['dear', 'governor', 'penny', 'please', 'do', 'leave', 'indiana', 'toxic', 'crisis', 'resume', 'home', 'state', 'still', 'need', 'attention', 'help', 'dear', 'governor', 'pence', 'before', 'you', 'leave', 'indiana', 'please']"
WELLNESS,"['work', 'like', 'olympian']",https://www.huffingtonpost.com/entry/olympic-workout_us_5b9dd208e4b03a1dcc8d4dea,"['top', 'notch', 'athlete', 'give', 'compete', 'chance', 'lifetime', 'practically', 'impossible', 'motivated', 'cheer', 'channel', 'feel', 'go', 'gold', 'olympian', 'inspire', 'workout', 'move', 'sculpt', 'leg', 'abs', 'arm', 'shoulder']","['olympic', 'workout']",8,"['work', 'like', 'olympian', 'top', 'notch', 'athlete', 'give', 'compete', 'chance', 'lifetime', 'practically', 'impossible', 'motivated', 'cheer', 'channel', 'feel', 'go', 'gold', 'olympian', 'inspire', 'workout', 'move', 'sculpt', 'leg', 'abs', 'arm', 'shoulder', 'olympic', 'workout']"
ENTERTAINMENT,"['actual', 'pretty', 'little', 'liar', 'exhibit', 'visit']",https://www.huffingtonpost.com/entry/pretty-little-liars-warner-bros-studio-tour_us_5942e39be4b0f15cd5ba07d1,"['mourn', 'end', 'show', 'place', 'start']","['pretty', 'little', 'liars', 'warner', 'bros', 'studio', 'tour']",1,"['actual', 'pretty', 'little', 'liar', 'exhibit', 'visit', 'mourn', 'end', 'show', 'place', 'start', 'pretty', 'little', 'liars', 'warner', 'bros', 'studio', 'tour']"
STYLE & BEAUTY,"['alternative', 'presentation']",https://www.huffingtonpost.com/entry/mercedes-benz-fashion-week_us_5b9c4ecce4b03a1dcc7db12a,"['year', 'feel', 'like', 'buzz', 'mercedes', 'benz', 'fashion', 'week', 'location', 'tent', 'first', 'bryant', 'park', 'lincoln', 'center', 'alternative', 'venue']","['mercedes', 'benz', 'fashion', 'week']",6,"['alternative', 'presentation', 'year', 'feel', 'like', 'buzz', 'mercedes', 'benz', 'fashion', 'week', 'location', 'tent', 'first', 'bryant', 'park', 'lincoln', 'center', 'alternative', 'venue', 'mercedes', 'benz', 'fashion', 'week']"
BUSINESS,"['tech', 'company', 'step', 'help', 'paris', 'attack']",https://www.huffingtonpost.com/entry/companies-help-paris_us_5648cc00e4b08cda34893b5a,"['airbus', 'ask', 'paris', 'host', 'offer', 'free', 'housing', 'need', 'facebook', 'enable', 'safety', 'check', 'tool']","['companies', 'help', 'paris']",0,"['tech', 'company', 'step', 'help', 'paris', 'attack', 'airbus', 'ask', 'paris', 'host', 'offer', 'free', 'housing', 'need', 'facebook', 'enable', 'safety', 'check', 'tool', 'companies', 'help', 'paris']"
POLITICS,"['danger', 'fly', 'war', 'zone']",https://www.huffingtonpost.com/entry/flying-over-war-zones_b_5601179.html,"['certainly', 'plenty', 'hot', 'spot', 'danger', 'zone', 'across', 'globe', 'flight', 'pass', 'daily', 'year', 'without', 'incident', 'due', 'several', 'know', 'factor']","['flying', 'over', 'war', 'zones']",4,"['danger', 'fly', 'war', 'zone', 'certainly', 'plenty', 'hot', 'spot', 'danger', 'zone', 'across', 'globe', 'flight', 'pass', 'daily', 'year', 'without', 'incident', 'due', 'several', 'know', 'factor', 'flying', 'over', 'war', 'zones']"
WELLNESS,"['ultimate', 'arm', 'abs', 'workout']",https://www.huffingtonpost.com/entry/ab-workout_us_5b9b496fe4b03a1dcc7656e1,"['jessica', 'smith', 'shape', 'com', 'set', 'pushup', 'plank', 'set', 'dip', 'sit', 'set', 'side', 'press', 'sweep', 'set', 'shoulder']","['ab', 'workout']",8,"['ultimate', 'arm', 'abs', 'workout', 'jessica', 'smith', 'shape', 'com', 'set', 'pushup', 'plank', 'set', 'dip', 'sit', 'set', 'side', 'press', 'sweep', 'set', 'shoulder', 'ab', 'workout']"
WORLD NEWS,"['russian', 'syrian', 'force', 'halt', 'airstrike', 'aleppo']",https://www.huffingtonpost.com/entry/aleppo-airstrikes_us_5805dceae4b0b994d4c13014,"['move', 'come', 'ahead', 'humanitarian', 'pause', 'mean', 'allow', 'civilian', 'rebel', 'leave', 'city']","['aleppo', 'airstrikes']",9,"['russian', 'syrian', 'force', 'halt', 'airstrike', 'aleppo', 'move', 'come', 'ahead', 'humanitarian', 'pause', 'mean', 'allow', 'civilian', 'rebel', 'leave', 'city', 'aleppo', 'airstrikes']"
BUSINESS,"['newspaper', 'rope']",https://www.huffingtonpost.com/entry/are-newspapers-on-the-rop_b_6822234.html,"['question', 'newspaper', 'united', 'states', 'rope', 'yet', 'close', 'knockout', 'blow', 'know', 'reader', 'personal', 'experience']","['are', 'newspapers', 'on', 'the', 'rop']",0,"['newspaper', 'rope', 'question', 'newspaper', 'united', 'states', 'rope', 'yet', 'close', 'knockout', 'blow', 'know', 'reader', 'personal', 'experience', 'are', 'newspapers', 'on', 'the', 'rop']"
WORLD NEWS,"['former', 'prime', 'minister', 'chung', 'chan', 'koreans', 'dark', 'horse', 'presidential', 'candidate']",https://www.huffingtonpost.com/entry/former-prime-minister-chung-un-chan-koreas-dark-horse_us_58c1159de4b070e55af9ebcc,"['korea', 'new', 'presidential', 'candidate', 'world', 'keep', 'eye', 'quick', 'search', 'poll', 'south', 'korean']","['former', 'prime', 'minister', 'chung', 'un', 'chan', 'koreas', 'dark', 'horse']",9,"['former', 'prime', 'minister', 'chung', 'chan', 'koreans', 'dark', 'horse', 'presidential', 'candidate', 'korea', 'new', 'presidential', 'candidate', 'world', 'keep', 'eye', 'quick', 'search', 'poll', 'south', 'korean', 'former', 'prime', 'minister', 'chung', 'un', 'chan', 'koreas', 'dark', 'horse']"
POLITICS,"['vote', 'military', 'live', 'abroad']",https://www.huffingtonpost.com/entry/overseas-us-voting_us_57bcc465e4b0b51733a690f0,"['trust', 'we', 'easy']","['overseas', 'us', 'voting']",4,"['vote', 'military', 'live', 'abroad', 'trust', 'we', 'easy', 'overseas', 'us', 'voting']"
WORLD NEWS,"['plight', 'syrians', 'star', 'cross', 'lover']",https://www.huffingtonpost.com/entry/syria-star-crossed-lovers_us_578e4caee4b0fa896c401b36,"['syrian', 'woman', 'live', 'government', 'control', 'province', 'latakia', 'must', 'decide', 'love', 'danger', 'marry']","['syria', 'star', 'crossed', 'lovers']",9,"['plight', 'syrians', 'star', 'cross', 'lover', 'syrian', 'woman', 'live', 'government', 'control', 'province', 'latakia', 'must', 'decide', 'love', 'danger', 'marry', 'syria', 'star', 'crossed', 'lovers']"
BUSINESS,"['new', 'york', 'hope', 'taxi', 'tomorrow', 'compete', 'user']",https://www.huffingtonpost.com/entry/new-york-cab-taxi-nissan-nv200_us_55e5a675e4b0aec9f3546d31,"['new', 'official', 'taxi', 'cab', 'nyx']","['new', 'york', 'cab', 'taxi', 'nissan', 'nv200']",0,"['new', 'york', 'hope', 'taxi', 'tomorrow', 'compete', 'user', 'new', 'official', 'taxi', 'cab', 'nyx', 'new', 'york', 'cab', 'taxi', 'nissan', 'nv200']"
SPORTS,"['olympic', 'official', 'lose', 'keys', 'stadium', 'pull', 'bolt', 'cutter']",https://www.huffingtonpost.com/entry/officials-lose-keys-olympic-stadium_us_57a35fe5e4b04414d1f3c984,"['everything', 'go', 'fine']","['officials', 'lose', 'keys', 'olympic', 'stadium']",5,"['olympic', 'official', 'lose', 'keys', 'stadium', 'pull', 'bolt', 'cutter', 'everything', 'go', 'fine', 'officials', 'lose', 'keys', 'olympic', 'stadium']"
